OID_,FID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,DEM_min,DEM_mean,DEM_max,DEM_std,FloAc_rang,FloAc_mean,FloAc_std,FlowAc_max,Haz_major,Haz_max,FloDir_maj,FloDir_mea,FloDir_std,2010_POP,2015_POP,2021_POP
968,968,48,201,323601,48201323601,3236.01,Census Tract 3236.01,G5020,S,2852848,9279,29.6521843,-95.1931237,3802711.390625,11235.8536535119,7,10.6162004,13.0,0.563899,4216.0,28.9897003,186.2649994,4216.0,1.0,1.0,16.0,30.3467999,39.7650986,,,
969,969,48,201,233701,48201233701,2337.01,Census Tract 2337.01,G5020,S,6833507,586053,29.7357783,-95.2467911,9874181.55078125,18422.7748376082,0,8.2691002,19.0,3.6015699,173289.0,477.6109924,8543.8496094,173289.0,2.0,2.0,1.0,26.8687992,40.5191002,5474.0,5455.0,6055.0
970,970,48,201,233703,48201233703,2337.03,Census Tract 2337.03,G5020,S,6781891,562767,29.743492,-95.2215425,9775872.53125,13397.0921093345,0,5.6806402,17.0,2.4790101,297625.0,486.1289978,10644.7998047,297625.0,1.0,2.0,1.0,29.7007008,45.7279015,2460.0,3855.0,6737.0
971,971,48,201,222502,48201222502,2225.02,Census Tract 2225.02,G5020,S,3371943,3297,29.9253365,-95.3885504,4508654.8203125,10837.7637907377,20,24.0140991,28.0,0.571551,3714.0,19.625,100.697998,3714.0,1.0,2.0,4.0,27.4570999,39.0525017,3595.0,3930.0,4835.0
972,972,48,201,533802,48201533802,5338.02,Census Tract 5338.02,G5020,S,5546082,6352,29.9260518,-95.467689,7417557.1875,11455.3033928365,26,30.0995998,38.0,0.864832,4182.0,25.6438007,126.8330002,4182.0,1.0,1.0,4.0,26.3162994,41.9668999,5533.0,4338.0,4225.0
973,973,48,201,410401,48201410401,4104.01,Census Tract 4104.01,G5020,S,879053,0,29.7475136,-95.4063924,1170151.859375,4366.18902067211,15,16.1268997,17.0,0.341369,1222.0,18.4477005,58.0024986,1222.0,0.0,0.0,4.0,27.2318993,41.4315987,3861.0,3963.0,3210.0
974,974,48,201,431801,48201431801,4318.01,Census Tract 4318.01,G5020,S,1231124,237,29.743985,-95.4725696,1639017.0703125,5076.83360903138,14,18.2665005,21.0,0.627695,8376.0,93.1091003,658.1040039,8376.0,0.0,0.0,4.0,19.5543003,33.0881996,2694.0,6475.0,2763.0
975,975,48,201,422702,48201422702,4227.02,Census Tract 4227.02,G5020,S,1286105,0,29.698989,-95.5093677,1710350.04296875,5342.073692142049,15,19.6014996,28.0,1.01029,4625.0,42.7787018,204.7059937,4625.0,1.0,1.0,1.0,19.5597,34.1646996,3744.0,4057.0,3598.0
976,976,48,201,422701,48201422701,4227.01,Census Tract 4227.01,G5020,S,1837628,0,29.6973752,-95.4999729,2443729.484375,7544.56916783169,15,18.7303009,20.0,0.489912,2818.0,25.9531002,132.2440033,2818.0,1.0,1.0,4.0,25.7224998,36.7456017,4303.0,4724.0,2987.0
977,977,48,201,553002,48201553002,5530.02,Census Tract 5530.02,G5020,S,4555769,76813,30.0121778,-95.4809464,6199016.234375,11656.4565639362,23,33.2436981,37.0,1.90605,4134.0,30.7859993,158.9389954,4134.0,2.0,2.0,16.0,36.1389999,42.6599007,4239.0,4732.0,5955.0
978,978,48,201,553001,48201553001,5530.01,Census Tract 5530.01,G5020,S,4679379,54970,30.0019366,-95.4947839,6333964.796875,11061.1961260274,24,35.6431007,42.0,1.87657,3135.0,18.8477993,98.2390976,3135.0,2.0,2.0,64.0,35.4608002,44.2750015,4989.0,6848.0,4283.0
979,979,48,201,333905,48201333905,3339.05,Census Tract 3339.05,G5020,S,2856697,2225,29.6191775,-95.2599372,3796029.9726562495,7915.8677990019,9,13.3120003,16.0,0.755142,4418.0,24.6930008,148.8040009,4418.0,1.0,1.0,4.0,31.2658997,47.9180984,,,
980,980,48,201,454505,48201454505,4545.05,Census Tract 4545.05,G5020,S,2979577,47734,29.7801047,-95.703999,4032415.2304687505,9274.38779494203,25,32.8749008,43.0,1.57625,3617.0,23.0041008,136.9779968,3617.0,0.0,0.0,4.0,22.6693993,46.9361992,,,
981,981,48,201,232304,48201232304,2323.04,Census Tract 2323.04,G5020,S,12302378,41797,29.858073,-95.2225389,16468070.265625,21181.2489234245,0,12.6348,20.0,2.0222399,5609.0,28.1644993,195.7449951,5609.0,1.0,2.0,16.0,23.3078003,32.3375015,,,
982,982,48,201,311702,48201311702,3117.02,Census Tract 3117.02,G5020,S,1108917,0,29.7010603,-95.2990496,1474774.34765625,5832.236972248969,5,10.2466002,15.0,0.831023,2338.0,18.2236996,94.3731995,2338.0,0.0,0.0,4.0,36.1553001,53.1917992,,,
983,983,48,201,221502,48201221502,2215.02,Census Tract 2215.02,G5020,S,521590,0,29.8672178,-95.4021729,695957.4296875,3443.7412055273694,22,24.1205997,30.0,0.772226,1040.0,14.6443996,66.8964996,1040.0,0.0,0.0,1.0,32.0979004,52.8464012,,,
984,984,48,201,521502,48201521502,5215.02,Census Tract 5215.02,G5020,S,1537888,0,29.8277109,-95.515963,2050396.47265625,6836.852178985009,21,25.2563,28.0,0.765357,5557.0,37.0764999,212.8040009,5557.0,1.0,1.0,4.0,28.9260006,40.3195992,,,
985,985,48,201,551602,48201551602,5516.02,Census Tract 5516.02,G5020,S,1682409,3201,29.9281382,-95.5743279,2251905.65234375,6523.7912347957,33,36.7369003,38.0,0.615913,2918.0,18.6390991,100.2910004,2918.0,0.0,0.0,1.0,23.6133003,42.4230995,,,
986,986,48,201,250202,48201250202,2502.02,Census Tract 2502.02,G5020,S,1358998,3074,29.9451501,-95.2714963,1820239.734375,6418.39831825239,16,20.5566998,27.0,0.60711,3257.0,33.266201,182.75,3257.0,0.0,0.0,64.0,35.0158997,38.8945999,,,
987,987,48,201,241202,48201241202,2412.02,Census Tract 2412.02,G5020,S,3200141,80834,30.0506762,-95.3998062,4393786.61328125,14957.974782939,16,31.1261997,40.0,3.8101101,3833.0,25.2402,149.1880035,3833.0,2.0,2.0,4.0,28.5778999,53.8899994,,,
