+OID_,FID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,DEM_min,DEM_mean,DEM_max,DEM_std,FloAc_rang,FloAc_mean,FloAc_std,FlowAc_max,Haz_major,Haz_max,FloDir_maj,FloDir_mea,FloDir_std,POP_2010_original,POP_2015_original,POP_2021_original,population_2021,population_2015,population_2010,growth_2010_2021_abs,growth_2010_2021_pct,growth_2010_2015_pct,growth_2015_2021_pct,area_sq_km,pop_density_2010,pop_density_2015,pop_density_2021
681,681,48,201,230700,48201230700,2307.0,Census Tract 2307,G5020,S,2698379,0,29.8530072,-95.3099266,3599437.97265625,10333.4456360664,7,16.2698994,19.0,1.91416,4764.0,30.9722004,181.2859955,4764.0,1.0,2.0,64.0,46.6102982,46.2655983,2790.0,4222.0,5122.0,2865.0,2618.0,2790.0,75.0,2.6881720430107525,-6.164874551971327,9.434682964094728,2.698379,1033.9540887325315,970.2121162371927,1061.748553483406
682,682,48,201,230800,48201230800,2308.0,Census Tract 2308,G5020,S,1851884,0,29.8398272,-95.2937237,2469629.08984375,7351.00990393755,7,14.9116001,18.0,0.840481,2272.0,21.1720009,93.5197983,2272.0,0.0,0.0,1.0,35.6720009,50.8432999,2434.0,6570.0,3461.0,2384.0,2590.0,2434.0,-50.0,-2.0542317173377156,6.4092029580936725,-7.953667953667953,1.851884,1314.3371831065012,1398.575720725488,1287.3376518183643
683,683,48,201,210400,48201210400,2104.0,Census Tract 2104,G5020,S,1811955,0,29.7864417,-95.3621992,2413826.78515625,7225.530001952729,2,13.7694998,17.0,2.1915801,4961.0,39.3176003,253.4880066,4961.0,0.0,0.0,16.0,33.2625008,38.2724991,4926.0,5775.0,4381.0,4411.0,4818.734425906033,4919.603270883547,-508.60327088354734,-10.338298494386592,-2.05034510759236,-8.461442151989303,1.811955,2715.0802701411167,2659.411754655073,2434.3871674517304
684,684,48,201,220800,48201220800,2208.0,Census Tract 2208,G5020,S,1734654,0,29.8308466,-95.3387038,2312886.796875,7137.839776879089,13,18.2066994,26.0,0.981305,3939.0,25.4491997,112.6969986,3939.0,0.0,0.0,4.0,14.3905001,29.2838993,2835.0,7726.0,2282.0,3707.0,2787.0,2835.0,872.0,30.758377425044092,-1.6931216931216932,33.01040545389308,1.734654,1634.3316880484524,1606.660463700542,2137.0255970354897
685,685,48,201,220900,48201220900,2209.0,Census Tract 2209,G5020,S,1497348,0,29.8488405,-95.3376376,1997184.22265625,6794.30107505619,13,18.4885998,25.0,0.88755,2770.0,23.8836002,111.2220001,2770.0,1.0,1.0,64.0,45.3861008,42.5985985,1760.0,5044.0,3852.0,1717.0,1610.0,1760.0,-43.0,-2.4431818181818183,-8.522727272727272,6.645962732919254,1.497348,1175.4114607960207,1075.2343476599963,1146.694021697027
686,686,48,201,221000,48201221000,2210.0,Census Tract 2210,G5020,S,2484737,6822,29.8603325,-95.3448895,3323994.7578125,8715.71562010509,13,17.9389992,20.0,0.83686,8400.0,48.4667015,280.8789978,8400.0,1.0,2.0,64.0,41.4637985,44.9888992,3504.0,4347.0,2286.0,3914.0,3520.0,3504.0,410.0,11.700913242009133,0.45662100456621,11.193181818181818,2.484737,1410.209611721482,1416.6489250170139,1575.2170149194865
687,687,48,201,221100,48201221100,2211.0,Census Tract 2211,G5020,S,3062450,1480,29.860055,-95.3546869,4087604.1953125,8855.634419551918,15,19.6191006,27.0,0.903877,7140.0,43.0806007,267.6390076,7140.0,0.0,0.0,1.0,27.7233009,45.3703995,3766.0,5468.0,3143.0,3959.0,3717.0,3766.0,193.0,5.124800849707913,-1.3011152416356877,6.5106268496099,3.06245,1229.7343630100083,1213.7341017812535,1292.7558000946954
688,688,48,201,221200,48201221200,2212.0,Census Tract 2212,G5020,S,2500612,0,29.8645953,-95.3740348,3336395.01171875,7604.688743123421,20,22.1998005,26.0,0.611387,4892.0,32.3420982,140.75,4892.0,1.0,1.0,1.0,15.2349997,28.8899002,5922.0,6381.0,2570.0,5806.0,6381.0,5922.0,-116.0,-1.9587977034785546,7.750759878419452,-9.01112678263595,2.500612,2368.2202596804304,2551.7753254003424,2321.8316156204964
689,689,48,201,230900,48201230900,2309.0,Census Tract 2309,G5020,S,6357519,2489,29.818201,-95.282634,8477885.47265625,11620.692119493,11,13.1175003,20.0,0.706367,9360.0,28.781601,230.8280029,9360.0,0.0,0.0,1.0,23.6938,42.5979996,3815.0,8906.0,2199.0,4194.0,3674.0,3815.0,379.0,9.934469200524246,-3.695937090432503,14.153511159499182,6.357519,600.0768538796345,577.8983908659966,659.6913041077817
690,690,48,201,231000,48201231000,2310.0,Census Tract 2310,G5020,S,4120288,6625,29.8401714,-95.2786836,5503602.015625,11005.9546294115,5,12.9619999,18.0,1.1609499,13859.0,40.8171997,409.9460144,13859.0,0.0,0.0,1.0,36.1353989,44.7720985,4217.0,6684.0,5232.0,5839.0,3773.0,4217.0,1622.0,38.4633625800332,-10.528811951624377,54.757487410548634,4.120288,1023.4721456364215,915.7126880451075,1417.1339479182036
691,691,48,201,251600,48201251600,2516.0,Census Tract 2516,G5020,S,57975922,2307355,30.1007294,-95.112658,80812411.23046878,46730.0058999402,12,23.9843998,33.0,4.9271998,89606.0,100.802002,1599.3299561,89606.0,2.0,2.0,4.0,19.9002991,32.8583984,5217.0,7102.0,2629.0,7408.0,6190.0,5217.0,2191.0,41.997316465401575,18.650565459076095,19.676898222940224,57.975922,89.9856323112895,106.76846156927009,127.77718308645441
692,692,48,201,332300,48201332300,3323.0,Census Tract 3323,G5020,S,1203528,0,29.6665605,-95.3233636,1599513.45703125,5226.349003612329,9,11.5417995,13.0,0.524648,6794.0,66.5579987,368.9590149,6794.0,0.0,0.0,4.0,23.0566006,30.6509991,2984.0,3520.0,6028.0,3003.0,3022.3103115213753,3039.9954409672364,-36.99544096723639,-1.2169571200233622,-0.5817485515779001,-0.6389255083358678,1.203528,2525.903378207434,2511.208971890455,2495.164217201428
