"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total","Margin of Error!!Total",
"0500000US48201","Harris County, Texas","001","Total population","4697957","*****",
"1400000US48201233300","Census Tract 2333; Harris County; Texas","001","Total population","4481","1035",
"1400000US48201233400","Census Tract 2334; Harris County; Texas","001","Total population","2493","380",
"1400000US48201233501","Census Tract 2335.01; Harris County; Texas","001","Total population","4138","587",
"1400000US48201233502","Census Tract 2335.02; Harris County; Texas","001","Total population","3103","500",
"1400000US48201233600","Census Tract 2336; Harris County; Texas","001","Total population","1799","454",
"1400000US48201233701","Census Tract 2337.01; Harris County; Texas","001","Total population","4851","597",
"1400000US48201233702","Census Tract 2337.02; Harris County; Texas","001","Total population","3029","530",
"1400000US48201233703","Census Tract 2337.03; Harris County; Texas","001","Total population","2766","508",
"1400000US48201240101","Census Tract 2401.01; Harris County; Texas","001","Total population","2026","572",
"1400000US48201240102","Census Tract 2401.02; Harris County; Texas","001","Total population","1854","534",
"1400000US48201240400","Census Tract 2404; Harris County; Texas","001","Total population","8215","1450",
"1400000US48201240503","Census Tract 2405.03; Harris County; Texas","001","Total population","3086","1056",
"1400000US48201240504","Census Tract 2405.04; Harris County; Texas","001","Total population","4032","967",
"1400000US48201240505","Census Tract 2405.05; Harris County; Texas","001","Total population","1418","344",
"1400000US48201240506","Census Tract 2405.06; Harris County; Texas","001","Total population","5997","858",
"1400000US48201240600","Census Tract 2406; Harris County; Texas","001","Total population","3351","1232",
"1400000US48201240703","Census Tract 2407.03; Harris County; Texas","001","Total population","5415","1063",
"1400000US48201240704","Census Tract 2407.04; Harris County; Texas","001","Total population","3497","810",
"1400000US48201240705","Census Tract 2407.05; Harris County; Texas","001","Total population","4222","798",
"1400000US48201240706","Census Tract 2407.06; Harris County; Texas","001","Total population","9241","1587",
"1400000US48201240707","Census Tract 2407.07; Harris County; Texas","001","Total population","5381","997",
"1400000US48201240802","Census Tract 2408.02; Harris County; Texas","001","Total population","8405","1341",
"1400000US48201240803","Census Tract 2408.03; Harris County; Texas","001","Total population","2695","410",
"1400000US48201240804","Census Tract 2408.04; Harris County; Texas","001","Total population","2494","613",
"1400000US48201240903","Census Tract 2409.03; Harris County; Texas","001","Total population","6551","1211",
"1400000US48201240904","Census Tract 2409.04; Harris County; Texas","001","Total population","9748","1314",
"1400000US48201240905","Census Tract 2409.05; Harris County; Texas","001","Total population","5377","1642",
"1400000US48201240906","Census Tract 2409.06; Harris County; Texas","001","Total population","7231","939",
"1400000US48201241001","Census Tract 2410.01; Harris County; Texas","001","Total population","3789","580",
"1400000US48201241002","Census Tract 2410.02; Harris County; Texas","001","Total population","5445","1209",
"1400000US48201241101","Census Tract 2411.01; Harris County; Texas","001","Total population","5357","666",
"1400000US48201241103","Census Tract 2411.03; Harris County; Texas","001","Total population","3758","637",
"1400000US48201241104","Census Tract 2411.04; Harris County; Texas","001","Total population","8835","2135",
"1400000US48201241105","Census Tract 2411.05; Harris County; Texas","001","Total population","6070","1665",
"1400000US48201241201","Census Tract 2412.01; Harris County; Texas","001","Total population","2364","591",
"1400000US48201241202","Census Tract 2412.02; Harris County; Texas","001","Total population","4861","656",
"1400000US48201241301","Census Tract 2413.01; Harris County; Texas","001","Total population","4381","514",
"1400000US48201241302","Census Tract 2413.02; Harris County; Texas","001","Total population","8035","2607",
"1400000US48201241400","Census Tract 2414; Harris County; Texas","001","Total population","10401","1134",
"1400000US48201241501","Census Tract 2415.01; Harris County; Texas","001","Total population","3935","922",
"1400000US48201241502","Census Tract 2415.02; Harris County; Texas","001","Total population","2238","740",
"1400000US48201241503","Census Tract 2415.03; Harris County; Texas","001","Total population","2249","897",
"1400000US48201250101","Census Tract 2501.01; Harris County; Texas","001","Total population","4257","1013",
"1400000US48201250102","Census Tract 2501.02; Harris County; Texas","001","Total population","5634","813",
"1400000US48201250201","Census Tract 2502.01; Harris County; Texas","001","Total population","8243","1650",
